	Kingdom	Phylum	Class	Order	Family	Genus
OTU_502	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas
OTU_5020	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Salinicoccus
OTU_5021	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Candidatus_Udaeobacter
OTU_5022	Bacteria	Acidobacteriota	Subgroup_5	Subgroup_5_or	Subgroup_5_fa	Subgroup_5_ge
OTU_5023	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacteria_unclassified	Ktedonobacteria_unclassified	Ktedonobacteria_unclassified
OTU_5024	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Solitalea
OTU_5025	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	cvE6	cvE6_ge
OTU_5026	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces
OTU_5027	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	Candidatus_Protochlamydia
OTU_5028	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiales_unclassified	Rickettsiales_unclassified
OTU_5029	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Herpetosiphonaceae	Herpetosiphon
OTU_503	Bacteria	Deinococcota	Deinococci	Deinococcales	Deinococcaceae	Deinococcus
OTU_5030	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	uncultured	uncultured_ge
OTU_5031	Bacteria	Chloroflexi	TK10	TK10_or	TK10_fa	TK10_ge
OTU_5032	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	uncultured	uncultured_ge
OTU_5033	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacterales_unclassified	Ktedonobacterales_unclassified
OTU_5034	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Pedosphaeraceae_ge
OTU_5035	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rickettsiales	SM2D12	SM2D12_ge
OTU_5036	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Elsterales	uncultured	uncultured_ge
