	site1	site2	comm_sim	site_dis	compartment
286	SECCNPK1	SEYCNPKM6	0.571863636363636	1078859.66222909	SE
287	SECCNPK1	SEYCNPKM7	0.339863636363636	1078859.66222909	SE
288	SECCNPK1	SEYCNPKM8	0.674	1078859.66222909	SE
289	SECCNPK1	SEYCNPKM9	0.609409090909091	1078859.66222909	SE
290	SECCNPK1	SEYYCK1	0.559	1402842.13363643	SE
291	SECCNPK1	SEYYCK2	0.614772727272727	1402842.13363643	SE
292	SECCNPK1	SEYYCK3	0.582227272727273	1402842.13363643	SE
293	SECCNPK1	SEYYCK4	0.0992727272727273	1402842.13363643	SE
294	SECCNPK1	SEYYCK5	0.575590909090909	1402842.13363643	SE
295	SECCNPK1	SEYYCK6	0.583954545454545	1402842.13363643	SE
296	SECCNPK1	SEYYCK7	0.445090909090909	1402842.13363643	SE
297	SECCNPK1	SEYYCK8	0.595636363636364	1402842.13363643	SE
298	SECCNPK1	SEYYCK9	0.0839545454545455	1402842.13363643	SE
299	SECCNPK1	SEYYNPK1	0.571863636363636	1402842.13363643	SE
300	SECCNPK1	SEYYNPK2	0.575318181818182	1402842.13363643	SE
301	SECCNPK1	SEYYNPK3	0.556227272727273	1402842.13363643	SE
302	SECCNPK1	SEYYNPK4	0.571227272727273	1402842.13363643	SE
303	SECCNPK1	SEYYNPK5	0.570954545454545	1402842.13363643	SE
304	SECCNPK1	SEYYNPK6	0.574545454545454	1402842.13363643	SE
305	SECCNPK1	SEYYNPK7	0.571818181818182	1402842.13363643	SE
306	SECCNPK1	SEYYNPK8	0.601045454545455	1402842.13363643	SE
307	SECCNPK1	SEYYNPK9	0.570318181818182	1402842.13363643	SE
308	SECCNPK1	SEYYNPKM1	0.588681818181818	1402842.13363643	SE
309	SECCNPK1	SEYYNPKM2	0.554863636363636	1402842.13363643	SE
310	SECCNPK1	SEYYNPKM3	0.4055	1402842.13363643	SE
311	SECCNPK1	SEYYNPKM4	0.562227272727273	1402842.13363643	SE
312	SECCNPK1	SEYYNPKM5	0.598727272727273	1402842.13363643	SE
313	SECCNPK1	SEYYNPKM6	0.308	1402842.13363643	SE
314	SECCNPK1	SEYYNPKM7	0.585136363636364	1402842.13363643	SE
315	SECCNPK1	SEYYNPKM8	0.0592272727272727	1402842.13363643	SE
316	SECCNPK1	SEYYNPKM9	0.207772727272727	1402842.13363643	SE
317	SECCNPK2	SEQYCK1	0.0145909090909091	2254915.66494674	SE
318	SECCNPK2	SEQYCK2	0.125181818181818	2254915.66494674	SE
319	SECCNPK2	SEQYCK3	0.121045454545455	2254915.66494674	SE
320	SECCNPK2	SEQYCK4	0.0247272727272727	2254915.66494674	SE
321	SECCNPK2	SEQYCK5	0.639863636363636	2254915.66494674	SE
322	SECCNPK2	SEQYCK6	0.478409090909091	2254915.66494674	SE
323	SECCNPK2	SEQYCK7	0.433045454545455	2254915.66494674	SE
324	SECCNPK2	SEQYCK9	0.643818181818182	2254915.66494674	SE
325	SECCNPK2	SEQYNPK1	0.663136363636364	2254915.66494674	SE
326	SECCNPK2	SEQYNPK2	0.535363636363636	2254915.66494674	SE
327	SECCNPK2	SEQYNPK3	0.101909090909091	2254915.66494674	SE
328	SECCNPK2	SEQYNPK4	0.120409090909091	2254915.66494674	SE
329	SECCNPK2	SEQYNPK5	0.693863636363636	2254915.66494674	SE
330	SECCNPK2	SEQYNPK6	0.654590909090909	2254915.66494674	SE
331	SECCNPK2	SEQYNPK7	0.640363636363636	2254915.66494674	SE
332	SECCNPK2	SEQYNPK8	0.709772727272727	2254915.66494674	SE
333	SECCNPK2	SEQYNPK9	0.699636363636364	2254915.66494674	SE
334	SECCNPK2	SEQYNPKM1	0.6685	2254915.66494674	SE
335	SECCNPK2	SEQYNPKM2	0.702818181818182	2254915.66494674	SE
336	SECCNPK2	SEQYNPKM3	0.696318181818182	2254915.66494674	SE
337	SECCNPK2	SEQYNPKM4	0.546454545454546	2254915.66494674	SE
338	SECCNPK2	SEQYNPKM5	0.681227272727273	2254915.66494674	SE
339	SECCNPK2	SEQYNPKM6	0.689363636363636	2254915.66494674	SE
340	SECCNPK2	SEQYNPKM7	0.710954545454545	2254915.66494674	SE
341	SECCNPK2	SEQYNPKM8	0.576727272727273	2254915.66494674	SE
342	SECCNPK2	SEQYNPKM9	0.622363636363636	2254915.66494674	SE
343	SECCNPK2	SEYCCK1	0.358318181818182	1078859.66222909	SE
344	SECCNPK2	SEYCCK2	0.176818181818182	1078859.66222909	SE
345	SECCNPK2	SEYCCK3	0.0515	1078859.66222909	SE
346	SECCNPK2	SEYCCK4	0.0554545454545454	1078859.66222909	SE
347	SECCNPK2	SEYCCK5	0.151181818181818	1078859.66222909	SE
348	SECCNPK2	SEYCCK6	0.0895454545454546	1078859.66222909	SE
349	SECCNPK2	SEYCCK7	0.125772727272727	1078859.66222909	SE
350	SECCNPK2	SEYCCK8	0.112863636363636	1078859.66222909	SE
351	SECCNPK2	SEYCCK9	0.0488636363636363	1078859.66222909	SE
352	SECCNPK2	SEYCNPK2	0.0527272727272727	1078859.66222909	SE
353	SECCNPK2	SEYCNPK3	0.0606818181818182	1078859.66222909	SE
354	SECCNPK2	SEYCNPK4	0.263909090909091	1078859.66222909	SE
355	SECCNPK2	SEYCNPK5	0.297409090909091	1078859.66222909	SE
356	SECCNPK2	SEYCNPK6	0.0748636363636364	1078859.66222909	SE
357	SECCNPK2	SEYCNPK7	0.169545454545455	1078859.66222909	SE
358	SECCNPK2	SEYCNPK8	0.322409090909091	1078859.66222909	SE
359	SECCNPK2	SEYCNPK9	0.671454545454546	1078859.66222909	SE
360	SECCNPK2	SEYCNPKM1	0.551272727272727	1078859.66222909	SE
361	SECCNPK2	SEYCNPKM2	0.699454545454545	1078859.66222909	SE
362	SECCNPK2	SEYCNPKM3	0.142045454545455	1078859.66222909	SE
363	SECCNPK2	SEYCNPKM4	0.693	1078859.66222909	SE
364	SECCNPK2	SEYCNPKM5	0.681772727272727	1078859.66222909	SE
365	SECCNPK2	SEYCNPKM6	0.592545454545454	1078859.66222909	SE
366	SECCNPK2	SEYCNPKM7	0.311727272727273	1078859.66222909	SE
367	SECCNPK2	SEYCNPKM8	0.629045454545454	1078859.66222909	SE
368	SECCNPK2	SEYCNPKM9	0.473954545454545	1078859.66222909	SE
369	SECCNPK2	SEYYCK1	0.701318181818182	1402842.13363643	SE
370	SECCNPK2	SEYYCK2	0.669318181818182	1402842.13363643	SE
371	SECCNPK2	SEYYCK3	0.675681818181818	1402842.13363643	SE
372	SECCNPK2	SEYYCK4	0.081	1402842.13363643	SE
373	SECCNPK2	SEYYCK5	0.672681818181818	1402842.13363643	SE
374	SECCNPK2	SEYYCK6	0.706227272727273	1402842.13363643	SE
375	SECCNPK2	SEYYCK7	0.469545454545455	1402842.13363643	SE
