SampleID	Longitude	Latitude	SiteTre
XEYCNPK1	116.5666667	36.81666667	VE
XEYCNPK2	116.5666667	36.81666667	VE
XEYCNPK3	116.5666667	36.81666667	VE
XEYCNPK4	116.5666667	36.81666667	VE
XEYCNPK5	116.5666667	36.81666667	VE
XEYCNPK6	116.5666667	36.81666667	VE
XEYCNPK7	116.5666667	36.81666667	VE
XEYCNPK8	116.5666667	36.81666667	VE
XEYCNPK9	116.5666667	36.81666667	VE
XEYCNPKM1	116.5666667	36.81666667	VE
XEYCNPKM2	116.5666667	36.81666667	VE
XEYCNPKM3	116.5666667	36.81666667	VE
XEYCNPKM4	116.5666667	36.81666667	VE
XEYCNPKM5	116.5666667	36.81666667	VE
XEYCNPKM6	116.5666667	36.81666667	VE
XEYCNPKM7	116.5666667	36.81666667	VE
XEYCNPKM8	116.5666667	36.81666667	VE
XEYCNPKM9	116.5666667	36.81666667	VE
XEYYCK1	113.6833333	35	VE
XEYYCK2	113.6833333	35	VE
XEYYCK4	113.6833333	35	VE
XEYYCK5	113.6833333	35	VE
XEYYCK6	113.6833333	35	VE
XEYYCK7	113.6833333	35	VE
XEYYCK8	113.6833333	35	VE
XEYYCK9	113.6833333	35	VE
XEYYNPK1	113.6833333	35	VE
XEYYNPK2	113.6833333	35	VE
XEYYNPK3	113.6833333	35	VE
XEYYNPK4	113.6833333	35	VE
XEYYNPK5	113.6833333	35	VE
XEYYNPK6	113.6833333	35	VE
XEYYNPK8	113.6833333	35	VE
XEYYNPK9	113.6833333	35	VE
XEYYNPKM1	113.6833333	35	VE
XEYYNPKM2	113.6833333	35	VE
XEYYNPKM3	113.6833333	35	VE
XEYYNPKM4	113.6833333	35	VE
XEYYNPKM5	113.6833333	35	VE
XEYYNPKM6	113.6833333	35	VE
XEYYNPKM7	113.6833333	35	VE
XEYYNPKM8	113.6833333	35	VE
XEYYNPKM9	113.6833333	35	VE
XECCCK1	125.4	43.8	VE
XECCCK2	125.4	43.8	VE
XECCCK3	125.4	43.8	VE
XECCNPK1	125.4	43.8	VE
XECCNPK2	125.4	43.8	VE
XECCNPK3	125.4	43.8	VE
XECCNPKM1	125.4	43.8	VE
XECCNPKM2	125.4	43.8	VE
XECCNPKM3	125.4	43.8	VE
XEJX20CK1	116.1833333	28.35	VE
XEJX20CK2	116.1833333	28.35	VE
XEJX20CK3	116.1833333	28.35	VE
XEJX20CK4	116.1833333	28.35	VE
XEJX20CK5	116.1833333	28.35	VE
XEJX20CK6	116.1833333	28.35	VE
XEJX20CK7	116.1833333	28.35	VE
XEJX20CK8	116.1833333	28.35	VE
XEJX20CK9	116.1833333	28.35	VE
XEJX20NPK1	116.1833333	28.35	VE
XEJX20NPK2	116.1833333	28.35	VE
XEJX20NPK3	116.1833333	28.35	VE
XEJX20NPK4	116.1833333	28.35	VE
XEJX20NPK5	116.1833333	28.35	VE
XEJX20NPK6	116.1833333	28.35	VE
XEJX20NPK7	116.1833333	28.35	VE
XEJX20NPK8	116.1833333	28.35	VE
XEJX20NPK9	116.1833333	28.35	VE
XEJX20NPKM1	116.1833333	28.35	VE
XEJX20NPKM2	116.1833333	28.35	VE
XEJX20NPKM3	116.1833333	28.35	VE
XEJX20NPKM4	116.1833333	28.35	VE
XEJX20NPKM5	116.1833333	28.35	VE
XEJX20NPKM6	116.1833333	28.35	VE
XEJX20NPKM7	116.1833333	28.35	VE
XEJX20NPKM8	116.1833333	28.35	VE
XEJX20NPKM9	116.1833333	28.35	VE
XEHL20CK1	126.8333333	47.35	VE
XEHL20CK2	126.8333333	47.35	VE
XEHL20CK3	126.8333333	47.35	VE
XEHL20NPK2	126.8333333	47.35	VE
XEHL20NPK3	126.8333333	47.35	VE
XEHL20NPKM1	126.8333333	47.35	VE
XEHL20NPKM2	126.8333333	47.35	VE
XEHL20NPKM3	126.8333333	47.35	VE
SEQYCK1	111.8666667	26.75	SE
SEQYCK2	111.8666667	26.75	SE
SEQYCK3	111.8666667	26.75	SE
SEQYCK4	111.8666667	26.75	SE
SEQYCK5	111.8666667	26.75	SE
SEQYCK6	111.8666667	26.75	SE
SEQYCK7	111.8666667	26.75	SE
SEQYCK9	111.8666667	26.75	SE
SEQYNPK1	111.8666667	26.75	SE
SEQYNPK2	111.8666667	26.75	SE
SEQYNPK3	111.8666667	26.75	SE
SEQYNPK4	111.8666667	26.75	SE
SEQYNPK5	111.8666667	26.75	SE
SEQYNPK6	111.8666667	26.75	SE
SEQYNPK7	111.8666667	26.75	SE
SEQYNPK8	111.8666667	26.75	SE
SEQYNPK9	111.8666667	26.75	SE
SEQYNPKM1	111.8666667	26.75	SE
SEQYNPKM2	111.8666667	26.75	SE
SEQYNPKM3	111.8666667	26.75	SE
SEQYNPKM4	111.8666667	26.75	SE
SEQYNPKM5	111.8666667	26.75	SE
SEQYNPKM6	111.8666667	26.75	SE
SEQYNPKM7	111.8666667	26.75	SE
SEQYNPKM8	111.8666667	26.75	SE
SEQYNPKM9	111.8666667	26.75	SE
SEYCCK1	116.5666667	36.81666667	SE
SEYCCK2	116.5666667	36.81666667	SE
SEYCCK3	116.5666667	36.81666667	SE
SEYCCK4	116.5666667	36.81666667	SE
SEYCCK5	116.5666667	36.81666667	SE
SEYCCK6	116.5666667	36.81666667	SE
SEYCCK7	116.5666667	36.81666667	SE
SEYCCK8	116.5666667	36.81666667	SE
SEYCCK9	116.5666667	36.81666667	SE
SEYCNPK2	116.5666667	36.81666667	SE
SEYCNPK3	116.5666667	36.81666667	SE
SEYCNPK4	116.5666667	36.81666667	SE
SEYCNPK5	116.5666667	36.81666667	SE
SEYCNPK6	116.5666667	36.81666667	SE
SEYCNPK7	116.5666667	36.81666667	SE
SEYCNPK8	116.5666667	36.81666667	SE
SEYCNPK9	116.5666667	36.81666667	SE
SEYCNPKM1	116.5666667	36.81666667	SE
SEYCNPKM2	116.5666667	36.81666667	SE
SEYCNPKM3	116.5666667	36.81666667	SE
SEYCNPKM4	116.5666667	36.81666667	SE
SEYCNPKM5	116.5666667	36.81666667	SE
SEYCNPKM6	116.5666667	36.81666667	SE
SEYCNPKM7	116.5666667	36.81666667	SE
SEYCNPKM8	116.5666667	36.81666667	SE
SEYCNPKM9	116.5666667	36.81666667	SE
SEYYCK1	113.6833333	35	SE
SEYYCK2	113.6833333	35	SE
SEYYCK3	113.6833333	35	SE
SEYYCK4	113.6833333	35	SE
SEYYCK5	113.6833333	35	SE
SEYYCK6	113.6833333	35	SE
SEYYCK7	113.6833333	35	SE
SEYYCK8	113.6833333	35	SE
SEYYCK9	113.6833333	35	SE
SEYYNPK1	113.6833333	35	SE
SEYYNPK2	113.6833333	35	SE
SEYYNPK3	113.6833333	35	SE
SEYYNPK4	113.6833333	35	SE
SEYYNPK5	113.6833333	35	SE
SEYYNPK6	113.6833333	35	SE
SEYYNPK7	113.6833333	35	SE
SEYYNPK8	113.6833333	35	SE
SEYYNPK9	113.6833333	35	SE
SEYYNPKM1	113.6833333	35	SE
SEYYNPKM2	113.6833333	35	SE
SEYYNPKM3	113.6833333	35	SE
SEYYNPKM4	113.6833333	35	SE
SEYYNPKM5	113.6833333	35	SE
SEYYNPKM6	113.6833333	35	SE
SEYYNPKM7	113.6833333	35	SE
SEYYNPKM8	113.6833333	35	SE
SEYYNPKM9	113.6833333	35	SE
SECCCK1	125.4	43.8	SE
SECCCK2	125.4	43.8	SE
SECCCK3	125.4	43.8	SE
SECCNPK1	125.4	43.8	SE
SECCNPK2	125.4	43.8	SE
SECCNPK3	125.4	43.8	SE
SECCNPKM1	125.4	43.8	SE
SECCNPKM2	125.4	43.8	SE
SECCNPKM3	125.4	43.8	SE
SEJX20CK1	116.1833333	28.35	SE
SEJX20CK2	116.1833333	28.35	SE
SEJX20CK3	116.1833333	28.35	SE
SEJX20CK4	116.1833333	28.35	SE
SEJX20CK5	116.1833333	28.35	SE
SEJX20CK6	116.1833333	28.35	SE
SEJX20CK7	116.1833333	28.35	SE
SEJX20CK9	116.1833333	28.35	SE
SEJX20NPK1	116.1833333	28.35	SE
SEJX20NPK2	116.1833333	28.35	SE
SEJX20NPK3	116.1833333	28.35	SE
SEJX20NPK4	116.1833333	28.35	SE
SEJX20NPK5	116.1833333	28.35	SE
SEJX20NPK6	116.1833333	28.35	SE
