Sample	berger_parker	buzas_gibson	chao1	dominance	equitability	jost	jost1	reads	richness	robbins	simpson	shannon_e	shannon_2	shannon_10
BHLNPK1	0.0187	0.0255	2068.5	0.996	0.829	333.7	560.9	22000	2065	0.373	0.00431	6.33	9.13	2.75
BHLNPK2	0.0255	0.0236	2107.3	0.995	0.817	292.5	518.7	22000	2104	0.382	0.00509	6.25	9.02	2.71
BHLNPK3	0.0198	0.0255	2103.4	0.996	0.827	331.7	561.2	22000	2100	0.376	0.00434	6.33	9.13	2.75
BHLNPKM1	0.0164	0.0284	2266	0.996	0.834	372.5	625.7	22000	2263	0.379	0.00385	6.44	9.29	2.8
BHLNPKM2	0.0175	0.0276	2196	0.996	0.833	363.3	607.6	22000	2193	0.375	0.00395	6.41	9.25	2.78
BHLNPKM3	0.0175	0.0291	2197	0.996	0.84	392.2	640.6	22000	2194	0.369	0.00362	6.46	9.32	2.81
RJXCK1	0.102	0.00958	1552.6	0.979	0.728	84.7	210.8	22000	1549	0.388	0.021	5.35	7.72	2.32
RJXCK2	0.113	0.0118	1693.7	0.98	0.748	96.4	258.9	22000	1691	0.371	0.0205	5.56	8.02	2.41
RJXCK3	0.115	0.0119	1660.7	0.98	0.751	100	261.6	22000	1658	0.356	0.0197	5.57	8.03	2.42
RJXCK4	0.132	0.0102	1564.5	0.976	0.736	82.1	223.4	22000	1562	0.361	0.0244	5.41	7.8	2.35
RJXCK5	0.103	0.00993	1525.1	0.98	0.735	91	218.4	22000	1523	0.362	0.0196	5.39	7.77	2.34
RJXCK6	0.125	0.0103	1625	0.976	0.734	81.7	227.5	22000	1623	0.354	0.0242	5.43	7.83	2.36
RJXCK7	0.13	0.0101	1667.1	0.974	0.729	76.4	222.7	22000	1664	0.377	0.0262	5.41	7.8	2.35
RJXCK8	0.117	0.0122	1640.6	0.98	0.756	103.6	269.2	22000	1638	0.344	0.0195	5.6	8.07	2.43
RJXCK9	0.0706	0.0139	1721.6	0.987	0.768	138.8	306.3	22000	1719	0.372	0.0125	5.72	8.26	2.49
