OTUID	BS	P	LE	RS	RE	SE	VE
OTU_6369	3.02E-04	0.00E+00	0.00E+00	3.70E-04	2.87E-05	0.00E+00	0.00E+00
OTU_637	2.33E-02	4.05E-05	7.18E-06	1.48E-02	5.98E-04	2.59E-03	0.00E+00
OTU_6370	7.43E-04	0.00E+00	0.00E+00	3.95E-04	3.30E-06	1.81E-03	0.00E+00
OTU_6371	5.80E-03	3.40E-05	2.40E-05	5.41E-03	6.15E-04	1.68E-04	0.00E+00
OTU_6372	1.69E-04	0.00E+00	0.00E+00	1.32E-04	3.82E-05	0.00E+00	0.00E+00
OTU_6373	2.51E-04	0.00E+00	0.00E+00	2.60E-04	9.91E-06	0.00E+00	0.00E+00
OTU_6374	2.91E-04	0.00E+00	0.00E+00	2.02E-04	4.22E-05	0.00E+00	0.00E+00
OTU_6375	1.51E-03	1.05E-02	7.06E-04	1.55E-02	5.10E-02	2.56E-02	1.03E-02
OTU_6376	2.35E-04	4.07E-06	0.00E+00	5.31E-04	1.07E-04	0.00E+00	0.00E+00
OTU_6377	2.04E-03	0.00E+00	0.00E+00	7.27E-04	1.11E-04	0.00E+00	0.00E+00
OTU_6378	4.34E-04	0.00E+00	0.00E+00	2.74E-04	0.00E+00	0.00E+00	0.00E+00
OTU_6379	1.21E-04	0.00E+00	0.00E+00	2.31E-04	6.82E-06	0.00E+00	0.00E+00
OTU_638	6.75E-02	2.85E-05	1.20E-05	4.38E-02	1.61E-03	3.58E-03	0.00E+00
OTU_6380	2.79E-04	0.00E+00	0.00E+00	3.54E-04	9.94E-06	0.00E+00	0.00E+00
OTU_6381	7.34E-04	0.00E+00	0.00E+00	6.23E-04	2.51E-05	0.00E+00	0.00E+00
OTU_6382	4.54E-04	0.00E+00	0.00E+00	4.09E-04	1.11E-05	0.00E+00	0.00E+00
OTU_6383	9.89E-04	1.17E-04	5.42E-06	1.19E-03	1.63E-04	6.30E-04	0.00E+00
OTU_6384	3.29E-04	0.00E+00	0.00E+00	2.46E-04	2.34E-05	1.38E-05	0.00E+00
OTU_6385	1.05E-04	0.00E+00	0.00E+00	2.85E-04	6.33E-05	0.00E+00	0.00E+00
OTU_6386	1.54E-03	0.00E+00	0.00E+00	3.04E-04	6.87E-06	0.00E+00	0.00E+00
OTU_6387	2.26E-04	3.46E-05	0.00E+00	2.85E-04	2.56E-06	0.00E+00	0.00E+00
OTU_6388	3.79E-04	7.37E-06	0.00E+00	2.50E-04	3.22E-06	0.00E+00	0.00E+00
OTU_6389	6.06E-04	0.00E+00	0.00E+00	7.17E-05	0.00E+00	0.00E+00	0.00E+00
OTU_639	1.54E-03	9.27E-04	2.11E-03	8.03E-03	2.78E-02	6.86E-03	1.44E-04
OTU_6390	4.89E-04	0.00E+00	9.43E-06	2.31E-04	5.89E-05	0.00E+00	0.00E+00
OTU_6391	3.71E-04	0.00E+00	0.00E+00	2.18E-05	3.43E-06	0.00E+00	0.00E+00
OTU_6392	2.38E-04	0.00E+00	0.00E+00	8.54E-04	2.46E-05	0.00E+00	0.00E+00
OTU_6393	3.45E-04	0.00E+00	0.00E+00	2.30E-04	3.10E-05	0.00E+00	0.00E+00
OTU_6394	3.52E-04	2.50E-05	0.00E+00	1.97E-04	0.00E+00	0.00E+00	0.00E+00
OTU_6395	4.35E-04	0.00E+00	0.00E+00	1.85E-04	0.00E+00	0.00E+00	0.00E+00
OTU_6396	3.13E-04	0.00E+00	0.00E+00	1.73E-04	2.67E-05	0.00E+00	0.00E+00
OTU_6397	9.44E-05	0.00E+00	0.00E+00	3.51E-04	1.15E-04	8.48E-06	0.00E+00
OTU_6398	2.76E-04	0.00E+00	0.00E+00	4.42E-05	0.00E+00	0.00E+00	0.00E+00
OTU_6399	1.91E-03	0.00E+00	0.00E+00	1.01E-03	7.00E-05	0.00E+00	0.00E+00
OTU_64	7.57E-04	3.67E-01	5.42E-01	1.60E-03	1.37E-03	2.91E-02	4.44E-04
OTU_640	4.04E-02	1.72E-05	3.70E-06	1.69E-02	3.61E-04	0.00E+00	0.00E+00
OTU_6400	3.89E-03	1.41E-05	1.45E-05	2.73E-03	1.90E-03	5.20E-05	0.00E+00
OTU_6401	2.49E-04	0.00E+00	0.00E+00	1.37E-04	0.00E+00	0.00E+00	0.00E+00
OTU_6402	8.30E-04	0.00E+00	1.61E-06	1.27E-03	5.43E-04	0.00E+00	0.00E+00
OTU_6403	3.60E-03	1.38E-05	2.31E-06	8.19E-03	1.03E-02	2.66E-04	0.00E+00
OTU_6404	3.95E-04	0.00E+00	0.00E+00	1.60E-04	1.45E-05	1.64E-04	0.00E+00
OTU_6405	1.55E-03	0.00E+00	0.00E+00	2.61E-04	1.29E-05	0.00E+00	0.00E+00
OTU_6406	2.91E-06	4.53E-04	7.01E-06	6.41E-05	4.53E-04	5.43E-06	0.00E+00
OTU_6407	4.37E-04	0.00E+00	0.00E+00	2.33E-04	1.27E-05	0.00E+00	0.00E+00
OTU_6408	6.57E-04	0.00E+00	0.00E+00	2.52E-04	2.96E-06	0.00E+00	0.00E+00
OTU_6409	1.33E-03	0.00E+00	0.00E+00	2.44E-04	5.68E-06	0.00E+00	0.00E+00
