	otu	otu_occ	otu_rel
373	OTU_6995	0.116666667	7.265336e-07
374	OTU_11288	0.075000000	1.151229e-06
375	OTU_5056	0.075000000	4.949843e-07
376	OTU_84	0.058333333	6.005676e-07
377	OTU_330	0.091666667	5.758361e-07
378	OTU_296	0.133333333	6.317319e-07
379	OTU_115	0.125000000	7.065593e-07
380	OTU_418	0.083333333	6.049277e-07
381	OTU_1946	0.116666667	8.231593e-07
382	OTU_13779	0.133333333	6.166657e-07
383	OTU_10504	0.050000000	1.087081e-06
384	OTU_9227	0.100000000	8.981361e-07
385	OTU_290	0.108333333	8.804378e-07
386	OTU_397	0.108333333	8.494656e-07
387	OTU_12283	0.066666667	7.554904e-07
388	OTU_236	0.108333333	6.721903e-07
389	OTU_6861	0.091666667	6.972829e-07
390	OTU_273	0.075000000	8.458854e-07
391	OTU_251	0.100000000	6.458122e-07
392	OTU_187	0.108333333	5.354944e-07
393	OTU_6761	0.066666667	7.607065e-07
394	OTU_10233	0.108333333	1.308792e-06
395	OTU_223	0.016666667	4.442151e-07
396	OTU_7679	0.041666667	5.495322e-07
397	OTU_1186	0.033333333	4.280859e-07
398	OTU_2682	0.016666667	2.512070e-07
399	OTU_213	0.066666667	5.168498e-07
400	OTU_100	0.100000000	5.248305e-07
401	OTU_306	0.075000000	6.445735e-07
402	OTU_104	0.116666667	7.898662e-07
403	OTU_183	0.108333333	5.879572e-07
404	OTU_956	0.083333333	5.698821e-07
405	OTU_11384	0.058333333	8.029629e-07
406	OTU_697	0.100000000	1.151564e-06
407	OTU_11864	0.100000000	7.457076e-07
408	OTU_3466	0.066666667	6.247702e-07
409	OTU_7758	0.108333333	6.610437e-07
410	OTU_2616	0.041666667	2.630046e-07
411	OTU_49	0.091666667	5.891446e-07
412	OTU_41	0.100000000	6.537755e-07
413	OTU_153	0.100000000	7.219568e-07
414	OTU_8994	0.108333333	6.481373e-07
415	OTU_2563	0.083333333	1.090380e-06
416	OTU_3760	0.058333333	6.930792e-07
417	OTU_553	0.016666667	9.626853e-07
418	OTU_2788	0.091666667	7.703666e-07
419	OTU_744	0.058333333	9.641945e-07
420	OTU_1341	0.066666667	4.690662e-07
421	OTU_1409	0.041666667	7.855801e-07
422	OTU_991	0.041666667	7.471819e-07
423	OTU_1456	0.008333333	2.195044e-07
424	OTU_2386	0.066666667	5.648563e-07
425	OTU_12849	0.091666667	6.180496e-07
426	OTU_4089	0.025000000	9.447785e-07
427	OTU_5609	0.033333333	3.691599e-07
